timestamp,variable,unit,value
2026-08-08 13:05:00,indoor.temperature,ºF,57.4
2026-08-08 13:05:00,indoor.humidity,%,50.0
2026-08-08 13:05:00,pressure.absolute,inHg,28.2
2026-08-08 13:05:00,soil_ch1.soilmoisture,%,58.0
2026-08-08 13:05:00,temp_ch1.temperature,ºF,54.3
2026-08-08 13:05:00,indoor.dew_point,ºF,38.9
2026-08-08 13:05:00,soil_ch2.soilmoisture,%,44.0
2026-08-08 13:05:00,soil_ch1.ad,,270.0
2026-08-08 13:05:00,indoor.app_tempin,ºF,54.9
2026-08-08 13:05:00,soil_ch2.ad,,221.0
2026-08-08 13:05:00,indoor.feels_like,ºF,57.4
2026-08-08 13:10:00,soil_ch1.ad,,270.0
2026-08-08 13:10:00,pressure.absolute,inHg,28.19
2026-08-08 13:10:00,temp_ch2.temperature,ºF,53.7
2026-08-08 13:10:00,soil_ch1.soilmoisture,%,58.0
2026-08-08 13:10:00,indoor.temperature,ºF,57.6
2026-08-08 13:10:00,indoor.humidity,%,50.0
2026-08-08 13:10:00,pressure.relative,inHg,28.19
2026-08-08 13:10:00,soil_ch2.ad,,221.0
2026-08-08 13:10:00,indoor.feels_like,ºF,57.6
2026-08-08 13:10:00,indoor.app_tempin,ºF,55.2
2026-08-08 13:10:00,soil_ch2.soilmoisture,%,44.0
2026-08-08 13:10:00,indoor.dew_point,ºF,39.1
2026-08-08 13:10:00,temp_ch1.temperature,ºF,54.3
2026-08-08 13:15:00,indoor.temperature,ºF,58.0
2026-08-08 13:15:00,temp_ch2.temperature,ºF,53.7
2026-08-08 13:15:00,soil_ch2.soilmoisture,%,44.0
2026-08-08 13:15:00,indoor.feels_like,ºF,57.9
2026-08-08 13:15:00,indoor.dew_point,ºF,39.4
2026-08-08 13:15:00,soil_ch1.soilmoisture,%,58.0
2026-08-08 13:15:00,pressure.relative,inHg,28.2
2026-08-08 13:15:00,indoor.app_tempin,ºF,55.6
2026-08-08 13:15:00,soil_ch1.ad,,270.0
2026-08-08 13:15:00,indoor.humidity,%,50.0
2026-08-08 13:15:00,temp_ch1.temperature,ºF,54.4
2026-08-08 13:15:00,soil_ch2.ad,,221.0
2026-08-08 13:15:00,pressure.absolute,inHg,28.2
2026-08-08 13:20:00,soil_ch2.ad,,221.0
2026-08-08 13:20:00,temp_ch2.temperature,ºF,53.7
2026-08-08 13:20:00,soil_ch1.soilmoisture,%,58.0
2026-08-08 13:20:00,soil_ch1.ad,,270.0
2026-08-08 13:20:00,soil_ch2.soilmoisture,%,44.0
2026-08-08 13:20:00,temp_ch1.temperature,ºF,54.3
2026-08-08 13:20:00,pressure.absolute,inHg,28.19
2026-08-08 13:20:00,indoor.humidity,%,50.0
2026-08-08 13:20:00,indoor.app_tempin,ºF,55.8
2026-08-08 13:20:00,indoor.feels_like,ºF,58.1
2026-08-08 13:20:00,pressure.relative,inHg,28.19
2026-08-08 13:20:00,indoor.temperature,ºF,58.1
2026-08-08 13:20:00,indoor.dew_point,ºF,39.6
2026-08-08 13:25:00,pressure.absolute,inHg,28.19
2026-08-08 13:25:00,temp_ch1.temperature,ºF,54.4
2026-08-08 13:25:00,indoor.app_tempin,ºF,55.8
2026-08-08 13:25:00,soil_ch1.ad,,270.0
2026-08-08 13:25:00,soil_ch1.soilmoisture,%,58.0
2026-08-08 13:25:00,pressure.relative,inHg,28.19
2026-08-08 13:25:00,indoor.humidity,%,50.0
2026-08-08 13:25:00,indoor.dew_point,ºF,39.6
2026-08-08 13:25:00,soil_ch2.ad,,221.0
2026-08-08 13:25:00,indoor.temperature,ºF,58.1
2026-08-08 13:25:00,temp_ch2.temperature,ºF,53.7
2026-08-08 13:25:00,soil_ch2.soilmoisture,%,44.0
2026-08-08 13:25:00,indoor.feels_like,ºF,58.1
2026-08-08 13:30:00,indoor.dew_point,ºF,39.4
2026-08-08 13:30:00,pressure.absolute,inHg,28.19
2026-08-08 13:30:00,temp_ch1.temperature,ºF,54.4
2026-08-08 13:30:00,indoor.app_tempin,ºF,55.8
2026-08-08 13:30:00,soil_ch2.soilmoisture,%,44.0
2026-08-08 13:30:00,soil_ch1.ad,,270.0
2026-08-08 13:30:00,indoor.humidity,%,50.0
2026-08-08 13:30:00,soil_ch1.soilmoisture,%,58.0
2026-08-08 13:30:00,indoor.feels_like,ºF,58.1
2026-08-08 13:30:00,temp_ch2.temperature,ºF,53.7
2026-08-08 13:30:00,pressure.relative,inHg,28.19
2026-08-08 13:30:00,soil_ch2.ad,,221.0
2026-08-08 13:30:00,indoor.temperature,ºF,58.1
2026-08-08 13:35:00,indoor.dew_point,ºF,39.1
2026-08-08 13:35:00,indoor.feels_like,ºF,58.1
2026-08-08 13:35:00,indoor.app_tempin,ºF,55.7
2026-08-08 13:35:00,soil_ch2.soilmoisture,%,44.0
2026-08-08 13:35:00,soil_ch2.ad,,221.0
2026-08-08 13:35:00,soil_ch1.ad,,270.0
2026-08-08 13:35:00,indoor.humidity,%,49.0
2026-08-08 13:35:00,pressure.relative,inHg,28.2
2026-08-08 13:35:00,temp_ch1.temperature,ºF,54.4
2026-08-08 13:35:00,pressure.absolute,inHg,28.2
2026-08-08 13:35:00,temp_ch2.temperature,ºF,53.6
2026-08-08 13:35:00,indoor.temperature,ºF,58.1
2026-08-08 13:35:00,soil_ch1.soilmoisture,%,58.0
2026-08-08 13:40:00,indoor.dew_point,ºF,39.1
2026-08-08 13:40:00,soil_ch2.soilmoisture,%,44.0
2026-08-08 13:40:00,pressure.absolute,inHg,28.2
2026-08-08 13:40:00,temp_ch2.temperature,ºF,53.6
2026-08-08 13:40:00,indoor.feels_like,ºF,58.2
2026-08-08 13:40:00,indoor.temperature,ºF,58.2
2026-08-08 13:40:00,pressure.relative,inHg,28.2
2026-08-08 13:40:00,soil_ch2.ad,,221.0
2026-08-08 13:40:00,indoor.humidity,%,49.0
2026-08-08 13:40:00,soil_ch1.soilmoisture,%,58.0
2026-08-08 13:40:00,temp_ch1.temperature,ºF,54.4
2026-08-08 13:40:00,indoor.app_tempin,ºF,55.8
2026-08-08 13:40:00,soil_ch1.ad,,270.0
2026-08-08 13:45:00,temp_ch2.temperature,ºF,53.7
2026-08-08 13:45:00,soil_ch2.soilmoisture,%,44.0
2026-08-08 13:45:00,soil_ch1.soilmoisture,%,58.0
2026-08-08 13:45:00,indoor.feels_like,ºF,58.2
2026-08-08 13:45:00,soil_ch2.ad,,221.0
2026-08-08 13:45:00,indoor.temperature,ºF,58.2
2026-08-08 13:45:00,pressure.relative,inHg,28.19
2026-08-08 13:45:00,soil_ch1.ad,,270.0
2026-08-08 13:45:00,indoor.dew_point,ºF,39.2
2026-08-08 13:45:00,indoor.humidity,%,49.0
2026-08-08 13:45:00,indoor.app_tempin,ºF,55.8
2026-08-08 13:45:00,pressure.absolute,inHg,28.19
2026-08-08 13:45:00,temp_ch1.temperature,ºF,54.4
2026-08-08 13:50:00,indoor.temperature,ºF,58.5
2026-08-08 13:50:00,temp_ch1.temperature,ºF,54.4
2026-08-08 13:50:00,soil_ch2.ad,,221.0
2026-08-08 13:50:00,indoor.humidity,%,49.0
2026-08-08 13:50:00,temp_ch2.temperature,ºF,53.7
2026-08-08 13:50:00,indoor.dew_point,ºF,39.4
2026-08-08 13:50:00,soil_ch2.soilmoisture,%,44.0
2026-08-08 13:50:00,indoor.feels_like,ºF,58.5
2026-08-08 13:50:00,pressure.relative,inHg,28.2
2026-08-08 13:50:00,soil_ch1.ad,,270.0
2026-08-08 13:50:00,soil_ch1.soilmoisture,%,58.0
2026-08-08 13:50:00,indoor.app_tempin,ºF,56.1
2026-08-08 13:50:00,pressure.absolute,inHg,28.2
2026-08-08 13:55:00,indoor.temperature,ºF,58.6
2026-08-08 13:55:00,pressure.absolute,inHg,28.2
2026-08-08 13:55:00,pressure.relative,inHg,28.2
2026-08-08 13:55:00,indoor.feels_like,ºF,58.6
2026-08-08 13:55:00,indoor.app_tempin,ºF,56.3
2026-08-08 13:55:00,soil_ch2.soilmoisture,%,44.0
2026-08-08 13:55:00,indoor.dew_point,ºF,39.6
2026-08-08 13:55:00,indoor.humidity,%,49.0
2026-08-08 13:55:00,soil_ch1.ad,,270.0
2026-08-08 13:55:00,temp_ch2.temperature,ºF,53.6
2026-08-08 13:55:00,soil_ch1.soilmoisture,%,58.0
2026-08-08 13:55:00,soil_ch2.ad,,221.0
2026-08-08 13:55:00,temp_ch1.temperature,ºF,54.4
2026-08-08 14:00:00,indoor.app_tempin,ºF,56.3
2026-08-08 14:00:00,indoor.humidity,%,49.0
2026-08-08 14:00:00,pressure.relative,inHg,28.2
2026-08-08 14:00:00,temp_ch1.temperature,ºF,54.3
2026-08-08 14:00:00,soil_ch1.ad,,270.0
2026-08-08 14:00:00,pressure.absolute,inHg,28.2
2026-08-08 14:00:00,indoor.feels_like,ºF,58.6
2026-08-08 14:00:00,soil_ch2.soilmoisture,%,44.0
2026-08-08 14:00:00,indoor.dew_point,ºF,39.6
2026-08-08 14:00:00,soil_ch1.soilmoisture,%,58.0
