timestamp_local (America/Santiago),indoor.app_tempin,indoor.dew_point,indoor.feels_like,indoor.humidity,indoor.temperature,pressure.absolute,pressure.relative,soil_ch1.ad,soil_ch1.soilmoisture,soil_ch2.ad,soil_ch2.soilmoisture,temp_ch1.temperature,temp_ch2.temperature
2026-08-18 11:00:00,16.05,9.641666666666667,16.108333333333334,65.58333333333333,16.116666666666667,28.17333333333333,28.17333333333333,282.0,62.0,245.0,50.0,12.008333333333333,11.699999999999998
2026-08-18 12:00:00,16.358333333333334,9.641666666666667,16.366666666666667,64.41666666666667,16.366666666666667,28.151666666666667,28.151666666666667,281.25,61.25,245.0,50.0,12.091666666666669,11.699999999999998
2026-08-18 13:00:00,16.266666666666666,9.6,16.308333333333334,64.5,16.308333333333334,28.125833333333333,28.125833333333333,281.0,61.0,244.5833333333333,50.0,12.15,11.699999999999998
2026-08-18 14:00:00,16.816666666666666,9.583333333333334,16.891666666666666,62.0,16.891666666666666,28.10083333333333,28.10083333333333,281.0,61.0,244.0,50.0,12.25,11.699999999999998
2026-08-18 15:00:00,16.883333333333333,9.608333333333333,16.941666666666666,62.0,16.941666666666666,28.081666666666663,28.081666666666663,280.25,61.0,243.75,50.0,12.433333333333332,11.699999999999998
2026-08-18 16:00:00,16.9,9.4,17.016666666666666,60.833333333333336,17.016666666666666,28.079166666666666,28.079166666666666,280.0,61.0,243.0,50.0,12.525,11.699999999999998
2026-08-18 17:00:00,17.166666666666668,9.35,17.3,59.5,17.3,28.09083333333333,28.09083333333333,280.0,61.0,242.5,49.5,12.633333333333333,11.699999999999998
2026-08-18 18:00:00,17.033333333333335,9.241666666666667,17.208333333333332,59.41666666666666,17.191666666666666,28.10166666666667,28.10166666666667,279.3333333333333,61.0,242.0,49.0,12.691666666666665,11.699999999999998
2026-08-18 19:00:00,16.766666666666666,9.158333333333331,16.95,60.0,16.958333333333332,28.116666666666664,28.116666666666664,279.0,61.0,242.0,49.0,12.699999999999998,11.708333333333334
2026-08-18 20:00:00,16.325,8.666666666666666,16.625,59.333333333333336,16.625,28.12833333333333,28.12833333333333,279.0,61.0,241.16666666666663,49.0,12.783333333333331,11.800000000000002
2026-08-18 21:00:00,15.9,8.266666666666667,16.283333333333335,59.0,16.291666666666668,28.1325,28.1325,279.0,61.0,241.0,49.0,12.800000000000002,11.808333333333335
2026-08-18 22:00:00,15.591666666666669,8.216666666666667,16.0,60.0,16.0,28.135,28.135,279.0,61.0,241.0,49.0,12.800000000000002,11.85
2026-08-18 23:00:00,15.216666666666669,7.899999999999999,15.7,59.833333333333336,15.708333333333334,28.144166666666667,28.144166666666667,279.0,61.0,241.0,49.0,12.733333333333334,11.883333333333333
2026-08-19 00:00:00,14.908333333333331,7.524999999999999,15.5,58.91666666666666,15.5,28.14916666666667,28.14916666666667,278.5833333333333,60.583333333333336,240.66666666666663,49.0,12.699999999999998,11.9
2026-08-19 01:00:00,14.55,7.041666666666667,15.241666666666667,58.0,15.25,28.16,28.16,278.0,60.0,240.0,49.0,12.699999999999998,11.9
2026-08-19 02:00:00,14.241666666666667,6.575,15.041666666666666,56.833333333333336,15.033333333333331,28.151666666666667,28.151666666666667,278.0,60.0,240.0,49.0,12.633333333333333,11.958333333333334
2026-08-19 03:00:00,13.916666666666666,6.125,14.816666666666668,56.0,14.816666666666668,28.1475,28.1475,278.0,60.0,240.0,49.0,12.6,11.991666666666667
2026-08-19 04:00:00,13.641666666666666,5.9,14.583333333333334,56.0,14.583333333333334,28.174166666666668,28.174166666666668,278.0,60.0,240.0,49.0,12.533333333333331,11.991666666666667
2026-08-19 05:00:00,13.391666666666667,5.566666666666666,14.375,55.41666666666666,14.375,28.195000000000004,28.195000000000004,278.0,60.0,240.0,49.0,12.5,11.958333333333334
2026-08-19 06:00:00,13.125,5.291666666666667,14.191666666666668,55.0,14.191666666666668,28.2225,28.2225,278.0,60.0,239.16666666666663,49.0,12.416666666666666,11.925
2026-08-19 07:00:00,12.891666666666667,5.125,14.008333333333333,55.0,14.008333333333333,28.250833333333333,28.250833333333333,277.1666666666667,60.0,239.0,49.0,12.358333333333334,11.916666666666666
2026-08-19 08:00:00,13.558333333333332,5.366666666666667,14.625,53.75,14.625,28.261666666666667,28.261666666666667,277.0,60.0,239.0,49.0,12.300000000000002,11.966666666666669
2026-08-19 09:00:00,14.641666666666666,6.208333333333333,15.525,53.833333333333336,15.525,28.281666666666663,28.281666666666663,277.0,60.0,239.0,49.0,12.233333333333334,11.916666666666666
2026-08-19 10:00:00,15.3,6.75,16.058333333333334,54.0,16.05,28.285,28.285,277.0,60.0,239.0,49.0,12.208333333333334,11.9
2026-08-19 11:00:00,15.716666666666669,7.158333333333334,16.366666666666667,54.5,16.366666666666667,28.266666666666666,28.266666666666666,277.0,60.0,239.0,49.0,12.233333333333334,11.908333333333331
2026-08-19 12:00:00,16.533333333333335,8.516666666666667,16.849999999999998,58.0,16.849999999999998,28.26333333333333,28.26333333333333,276.25,60.0,238.5,48.5,12.300000000000002,11.883333333333333
